mode	purpose	mean_routed_distance	var_routed_distance	mean_crowfly_distance	var_crowfly_distance
car	remote_work	22.933775	1408.641912	13.279788	488.465528
car	leisure	15.965410	724.869326	10.159340	304.308181
car	shop	8.383583	247.176630	5.467805	105.706203
car	escort_kids	7.626629	176.041943	4.882854	74.124419
car	escort_other	12.444436	483.186265	7.916547	207.498134
car	work	13.188331	350.184226	8.672014	142.752417
car	education	13.969138	531.900917	9.340683	251.995614
car	remote_home	62.793635	5775.372721	31.114915	2303.744691
pt	remote_work	53.187967	3443.457001	36.384215	1831.764133
pt	leisure	27.604419	2161.006749	17.032539	857.123740
pt	shop	11.324199	525.409961	7.305500	222.062081
pt	escort_kids	19.072803	1791.590995	12.693006	871.728250
pt	escort_other	20.040365	972.374395	12.799552	405.686494
pt	work	19.973897	640.120577	13.559711	333.800944
pt	education	15.971977	631.146301	10.417965	269.592754
pt	remote_home	76.082725	8457.891373	31.039081	2588.144414
bike	remote_work	2.734303	23.953669	1.454581	2.477126
bike	leisure	5.382225	106.087705	1.827752	25.079531
bike	shop	1.933667	10.446008	1.148739	3.570434
bike	escort_kids	1.649977	3.083397	2.083045	75.745401
bike	escort_other	2.127731	9.680963	1.066043	0.814645
bike	work	2.962724	10.922485	2.067092	16.658283
bike	education	2.215431	4.558417	1.887893	41.940147
bike	remote_home	10.646300	314.895486	2.719323	11.556213
walk	remote_work	1.190340	5.008677	0.965703	37.090356
walk	leisure	1.854218	7.873452	0.552633	12.333198
walk	shop	0.785011	0.966213	0.641586	10.592918
walk	escort_kids	0.733379	0.694738	0.562332	6.038313
walk	escort_other	0.837988	0.889530	0.617571	10.466615
walk	work	0.759964	1.124976	0.784691	22.717926
walk	education	0.849531	0.722863	0.957562	17.969149
walk	remote_home	3.003294	13.397017	1.853580	109.346696
